Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Mount Bohemia,Michigan,Michigan,1500,900,600,0,0,0,0,1,1,0,2,,,2.3,585.0,,83.0,19.0,273.0,68.0,100.0,,28,0.28036848830417815,28.951341067477305,0.1327734906945075,0.034742570113018,,,,0.003418803418803419,,0.0
Mt. Brighton,Michigan,Michigan,1330,230,1100,0,0,0,2,3,0,8,13,25.0,5.0,0.1,130.0,130.0,111.0,59.0,60.0,59.0,100.0,130.0,28,0.28036848830417815,28.951341067477305,0.029505220154335,0.046462955211385513,0.07936507936507936,0.06680369989722508,0.52,0.1,0.0,0.0
Mt. Holiday Ski Area,Michigan,Michigan,440,200,240,0,0,0,0,0,2,2,4,12.0,,0.1,45.0,45.0,100.0,70.0,120.0,34.0,90.0,45.0,28,0.28036848830417815,28.951341067477305,0.010213345438039038,0.041858518208455424,,0.023124357656731757,0.3333333333333333,0.08888888888888889,0.0,0.0
Mount Holly,Michigan,Michigan,1105,350,755,0,0,1,2,3,1,6,13,19.0,,0.1,100.0,100.0,,63.0,42.0,45.0,102.0,100.0,28,0.28036848830417815,28.951341067477305,0.022696323195642305,,,0.051387461459403906,0.6842105263157895,0.13,0.05263157894736842,0.01
Mulligan's Hollow Ski Bowl,Michigan,Michigan,700,130,570,0,0,0,0,0,0,5,5,6.0,,0.2,10.0,10.0,,19.0,60.0,20.0,,10.0,28,0.28036848830417815,28.951341067477305,0.0022696323195642307,,,0.0051387461459403904,0.8333333333333334,0.5,0.0,0.0
Norway Mountain,Michigan,Michigan,1335,500,835,0,0,0,0,1,2,3,6,17.0,1.0,1.4,186.0,186.0,110.0,45.0,100.0,45.0,110.0,40.0,28,0.28036848830417815,28.951341067477305,0.04221516114389469,0.046044370029300966,0.015873015873015872,0.020554984583761562,0.35294117647058826,0.03225806451612903,0.0,0.0
Nubs Nob Ski Area,Michigan,Michigan,1338,427,911,0,0,0,3,4,2,1,10,53.0,3.0,0.9,248.0,248.0,133.0,61.0,135.0,85.0,130.0,160.0,28,0.28036848830417815,28.951341067477305,0.05628688152519292,0.05567182921724571,0.047619047619047616,0.08221993833504625,0.18867924528301888,0.04032258064516129,0.0,0.0
Pine Mountain,Michigan,Michigan,1650,500,1150,0,0,0,0,1,2,1,4,28.0,1.0,0.5,160.0,160.0,110.0,80.0,60.0,45.0,126.0,80.0,28,0.28036848830417815,28.951341067477305,0.03631411711302769,0.046044370029300966,0.015873015873015872,0.041109969167523124,0.14285714285714285,0.025,0.0,0.0
Schuss Mountain at Shanty Creek,Michigan,Michigan,1125,450,675,0,0,0,5,0,0,3,8,42.0,3.0,1.0,70.0,70.0,94.0,57.0,160.0,78.0,111.0,70.0,28,0.28036848830417815,28.951341067477305,0.015887426236949616,0.039347007115948095,0.047619047619047616,0.03597122302158273,0.19047619047619047,0.11428571428571428,0.0,0.0
Ski Brule,Michigan,Michigan,1860,500,1360,0,0,0,0,0,5,7,12,17.0,3.0,1.0,150.0,150.0,164.0,62.0,150.0,49.0,165.0,40.0,28,0.28036848830417815,28.951341067477305,0.03404448479346346,0.06864796986186689,0.047619047619047616,0.020554984583761562,0.7058823529411765,0.08,0.0,0.0
Snow Snake Mountain Ski Area,Michigan,Michigan,1230,210,1020,0,0,0,0,1,0,5,6,12.0,2.0,0.0,40.0,40.0,,72.0,,35.0,,40.0,28,0.28036848830417815,28.951341067477305,0.009078529278256923,,0.031746031746031744,0.020554984583761562,0.5,0.15,0.0,0.0
Swiss Valley,Michigan,Michigan,1200,225,975,0,0,0,2,1,0,4,7,11.0,2.0,0.1,60.0,60.0,89.0,51.0,60.0,42.0,80.0,60.0,28,0.28036848830417815,28.951341067477305,0.013617793917385384,0.03725408120552533,0.031746031746031744,0.030832476875642344,0.6363636363636364,0.11666666666666667,0.0,0.0
The Homestead,Michigan,Michigan,900,320,580,0,0,0,0,2,1,2,5,15.0,1.0,0.2,16.0,16.0,47.0,34.0,150.0,50.0,42.0,16.0,28,0.28036848830417815,28.951341067477305,0.003631411711302769,0.019673503557974047,0.015873015873015872,0.008221993833504625,0.3333333333333333,0.3125,0.0,0.0
Timber Ridge,Michigan,Michigan,850,250,600,0,0,0,1,1,2,4,8,16.0,2.0,0.3,50.0,50.0,80.0,58.0,,45.0,,50.0,28,0.28036848830417815,28.951341067477305,0.011348161597821153,0.033486814566764334,0.031746031746031744,0.025693730729701953,0.5,0.16,0.0,0.0
Afton Alps,Minnesota,Minnesota,1530,350,1180,0,0,0,1,3,14,4,22,48.0,5.0,0.5,250.0,250.0,135.0,56.0,60.0,60.0,135.0,250.0,14,0.24824314777985515,16.103800496917273,0.16025641025641027,0.09060402684563758,0.1724137931034483,0.24509803921568626,0.4583333333333333,0.088,0.0,0.0
Andes Tower Hills Ski Area,Minnesota,Minnesota,1620,290,1330,0,0,0,1,2,0,3,6,15.0,2.0,0.2,35.0,35.0,100.0,38.0,55.0,45.0,110.0,35.0,14,0.24824314777985515,16.103800496917273,0.022435897435897436,0.06711409395973154,0.06896551724137931,0.03431372549019608,0.4,0.17142857142857143,0.0,0.0
Buck Hill,Minnesota,Minnesota,1225,309,919,0,0,0,2,1,0,5,8,16.0,,0.2,45.0,45.0,115.0,65.0,60.0,47.0,112.0,45.0,14,0.24824314777985515,16.103800496917273,0.028846153846153848,0.07718120805369127,,0.04411764705882353,0.5,0.17777777777777778,0.0,0.0
Buena Vista Ski Area,Minnesota,Minnesota,1510,230,1280,0,0,0,0,2,2,2,6,17.0,,0.3,30.0,30.0,57.0,70.0,78.0,44.0,60.0,30.0,14,0.24824314777985515,16.103800496917273,0.019230769230769232,0.03825503355704698,,0.029411764705882353,0.35294117647058826,0.2,0.0,0.0
Coffee Mill Ski & Snowboard Resort,Minnesota,Minnesota,1150,425,725,0,0,0,0,0,2,1,3,14.0,1.0,1.0,40.0,35.0,57.0,39.0,48.0,37.0,56.0,35.0,14,0.24824314777985515,16.103800496917273,0.02564102564102564,0.03825503355704698,0.034482758620689655,0.03431372549019608,0.21428571428571427,0.075,0.0,0.0
Elm Creek Winter Recreation Area,Minnesota,Minnesota,928,60,868,0,0,0,0,0,0,3,3,3.0,,1.0,15.0,20.0,105.0,13.0,45.0,17.0,102.0,15.0,14,0.24824314777985515,16.103800496917273,0.009615384615384616,0.07046979865771812,,0.014705882352941176,1.0,0.2,0.0,0.0
Giants Ridge Resort,Minnesota,Minnesota,1972,500,1472,0,0,1,1,1,2,2,7,35.0,2.0,0.8,202.0,202.0,120.0,35.0,85.0,58.0,125.0,121.0,14,0.24824314777985515,16.103800496917273,0.1294871794871795,0.08053691275167785,0.06896551724137931,0.11862745098039215,0.2,0.034653465346534656,0.02857142857142857,0.0049504950495049506
Hyland Ski & Snowboard Area,Minnesota,Minnesota,1075,175,900,0,0,0,2,1,0,5,8,14.0,1.0,1.0,35.0,35.0,110.0,61.0,55.0,35.34,115.0,35.0,14,0.24824314777985515,16.103800496917273,0.022435897435897436,0.0738255033557047,0.034482758620689655,0.03431372549019608,0.5714285714285714,0.22857142857142856,0.0,0.0
Lutsen Mountains,Minnesota,Minnesota,1688,825,800,1,1,0,0,1,4,1,8,62.0,2.0,2.0,393.0,231.0,135.0,71.0,120.0,84.0,127.0,,14,0.24824314777985515,16.103800496917273,0.2519230769230769,0.09060402684563758,0.06896551724137931,,0.12903225806451613,0.020356234096692113,0.0,0.0
Mount Kato Ski Area,Minnesota,Minnesota,540,240,300,0,0,0,5,0,3,2,10,19.0,4.0,1.0,55.0,55.0,115.0,43.0,50.0,46.0,120.0,50.0,14,0.24824314777985515,16.103800496917273,0.035256410256410256,0.07718120805369127,0.13793103448275862,0.049019607843137254,0.5263157894736842,0.18181818181818182,0.0,0.0
Powder Ridge Ski Area,Minnesota,Minnesota,790,300,500,0,0,0,1,0,2,3,6,15.0,4.0,,60.0,60.0,97.0,58.0,45.0,48.0,113.0,60.0,14,0.24824314777985515,16.103800496917273,0.038461538461538464,0.06510067114093959,0.13793103448275862,0.058823529411764705,0.4,0.1,0.0,0.0
Spirit Mountain,Minnesota,Minnesota,1320,700,620,0,0,1,1,2,1,2,7,22.0,3.0,1.0,175.0,175.0,100.0,45.0,100.0,59.0,125.0,144.0,14,0.24824314777985515,16.103800496917273,0.11217948717948718,0.06711409395973154,0.10344827586206896,0.1411764705882353,0.3181818181818182,0.04,0.045454545454545456,0.005714285714285714
Welch Village,Minnesota,Minnesota,1060,360,700,0,0,0,3,1,4,2,10,50.0,1.0,0.8,125.0,125.0,114.0,54.0,45.0,60.0,122.0,100.0,14,0.24824314777985515,16.103800496917273,0.08012820512820513,0.07651006711409396,0.034482758620689655,0.09803921568627451,0.2,0.08,0.0,0.0
Wild Mountain Ski & Snowboard Area,Minnesota,Minnesota,1113,300,813,0,0,0,4,0,0,4,8,26.0,4.0,0.9,100.0,100.0,130.0,47.0,50.0,55.0,140.0,100.0,14,0.24824314777985515,16.103800496917273,0.0641025641025641,0.087248322147651,0.13793103448275862,0.09803921568627451,0.3076923076923077,0.08,0.0,0.0
Hidden Valley Ski Area,Missouri,Missouri,2566,310,2316,0,0,0,2,2,0,3,7,17.0,,0.1,30.0,30.0,,37.0,26.0,49.0,,17.0,2,0.03258694032744661,2.8691523089503206,0.5,,,0.3617021276595745,0.4117647058823529,0.23333333333333334,0.0,0.0
Snow Creek,Missouri,Missouri,1100,300,800,0,0,0,0,2,1,2,5,14.0,2.0,0.3,30.0,30.0,69.0,33.0,20.0,47.0,85.0,30.0,2,0.03258694032744661,2.8691523089503206,0.5,1.0,1.0,0.6382978723404256,0.35714285714285715,0.16666666666666666,0.0,0.0
Blacktail Mountain Ski Area,Montana,Montana,6676,1440,5236,0,0,0,0,1,2,1,4,27.0,,0.7,1000.0,,,21.0,250.0,42.0,,,12,1.1227776020838753,8.161044613710555,0.046707146193367584,,,,0.14814814814814814,0.004,0.0,0.0
Bridger Bowl,Montana,Montana,8700,2600,6100,0,0,0,1,6,1,3,11,105.0,2.0,1.5,2000.0,100.0,122.0,64.0,350.0,63.0,133.0,,12,1.1227776020838753,8.161044613710555,0.09341429238673517,0.12828601472134596,0.07407407407407407,,0.10476190476190476,0.0055,0.0,0.0
Discovery Ski Area,Montana,Montana,8150,2380,5770,0,0,0,0,5,2,1,8,74.0,1.0,1.5,2400.0,25.0,116.0,46.0,225.0,49.0,116.0,,12,1.1227776020838753,8.161044613710555,0.1120971508640822,0.12197686645636173,0.037037037037037035,,0.10810810810810811,0.0033333333333333335,0.0,0.0
Great Divide,Montana,Montana,7330,1580,5750,0,0,0,0,0,5,1,6,110.0,6.0,3.0,1600.0,150.0,94.0,78.0,180.0,48.0,100.0,100.0,12,1.1227776020838753,8.161044613710555,0.07473143390938813,0.09884332281808622,0.2222222222222222,0.14084507042253522,0.05454545454545454,0.00375,0.0,0.0
Lost Trail - Powder Mtn,Montana,Montana,8200,1800,6400,0,0,0,0,0,5,3,8,69.0,2.0,2.5,1800.0,,84.0,81.0,325.0,46.0,80.0,,12,1.1227776020838753,8.161044613710555,0.08407286314806166,0.08832807570977919,0.07407407407407407,,0.11594202898550725,0.0044444444444444444,0.0,0.0
Maverick Mountain,Montana,Montana,8520,2020,6500,0,0,0,0,0,1,1,2,22.0,,1.3,255.0,,,83.0,160.0,39.0,,,12,1.1227776020838753,8.161044613710555,0.011910322279308735,,,,0.09090909090909091,0.00784313725490196,0.0,0.0
Montana Snowbowl,Montana,Montana,7600,2600,5000,0,0,0,0,0,2,2,4,37.0,,1.2,950.0,20.0,,58.0,300.0,50.0,,10.0,12,1.1227776020838753,8.161044613710555,0.044371788883699206,,,0.014084507042253521,0.10810810810810811,0.004210526315789474,0.0,0.0
Red Lodge Mountain,Montana,Montana,9416,2400,7016,0,0,2,0,1,3,1,7,70.0,2.0,2.5,1635.0,496.0,142.0,59.0,250.0,67.0,136.0,,12,1.1227776020838753,8.161044613710555,0.076366184026156,0.14931650893796003,0.07407407407407407,,0.1,0.004281345565749235,0.02857142857142857,0.0012232415902140672
Showdown Montana,Montana,Montana,8200,1400,6800,0,0,0,0,1,2,1,4,36.0,1.0,1.8,640.0,,86.0,83.0,250.0,47.0,85.0,,12,1.1227776020838753,8.161044613710555,0.029892573563755253,0.0904311251314406,0.037037037037037035,,0.1111111111111111,0.00625,0.0,0.0
Teton Pass Ski Resort,Montana,Montana,7200,1010,6190,0,0,0,0,0,1,2,3,43.0,1.0,3.0,330.0,,40.0,54.0,250.0,39.0,150.0,,12,1.1227776020838753,8.161044613710555,0.015413358243811303,0.04206098843322818,0.037037037037037035,,0.06976744186046512,0.00909090909090909,0.0,0.0
Big Mountain Resort,Montana,Montana,6817,2353,4464,0,0,3,2,6,0,3,14,105.0,4.0,3.3,3000.0,600.0,123.0,72.0,333.0,81.0,123.0,600.0,12,1.1227776020838753,8.161044613710555,0.14012143858010276,0.12933753943217666,0.14814814814814814,0.8450704225352113,0.13333333333333333,0.004666666666666667,0.02857142857142857,0.001
Diamond Peak,Sierra Nevada,Nevada,8540,1840,6700,0,0,1,2,0,3,1,7,30.0,3.0,2.5,655.0,492.0,100.0,53.0,300.0,99.0,122.0,,4,0.12986355236552954,3.61755236407047,0.3104265402843602,0.24096385542168675,0.3333333333333333,,0.23333333333333334,0.010687022900763359,0.03333333333333333,0.0015267175572519084
Elko SnoBowl,Nevada,Nevada,7000,700,6300,0,0,0,0,0,1,1,2,10.0,,1.0,60.0,2.0,19.0,23.0,24.0,20.0,30.0,,4,0.12986355236552954,3.61755236407047,0.02843601895734597,0.04578313253012048,,,0.2,0.03333333333333333,0.0,0.0
Lee Canyon,Nevada,Nevada,11289,860,8510,0,0,0,2,1,0,0,3,24.0,1.0,0.3,195.0,50.0,144.0,56.0,161.0,70.0,150.0,,4,0.12986355236552954,3.61755236407047,0.0924170616113744,0.3469879518072289,0.1111111111111111,,0.125,0.015384615384615385,0.0,0.0
Mt. Rose - Ski Tahoe,Sierra Nevada,Nevada,9700,1800,8260,0,2,0,2,2,0,2,8,65.0,5.0,2.5,1200.0,330.0,152.0,55.0,350.0,135.0,150.0,,4,0.12986355236552954,3.61755236407047,0.5687203791469194,0.36626506024096384,0.5555555555555556,,0.12307692307692308,0.006666666666666667,0.0,0.0
Attitash,New Hampshire,New Hampshire,2350,1750,600,0,0,2,1,3,2,1,9,68.0,3.0,3.0,311.0,240.0,115.0,54.0,120.0,89.0,130.0,,16,1.1767206413715856,171.14129853460264,0.09074992704989787,0.062263129399025445,0.06976744186046512,,0.1323529411764706,0.028938906752411574,0.029411764705882353,0.006430868167202572
Black Mountain,New Hampshire,New Hampshire,2350,1100,1250,0,0,0,0,1,1,3,5,45.0,,1.6,143.0,120.0,110.0,84.0,125.0,59.0,107.0,,16,1.1767206413715856,171.14129853460264,0.04172745841844178,0.05955603681645912,,,0.1111111111111111,0.03496503496503497,0.0,0.0
Bretton Woods,New Hampshire,New Hampshire,3100,1500,1600,0,0,4,1,1,0,3,9,63.0,2.0,2.0,464.0,427.0,180.0,46.0,200.0,99.0,180.0,45.0,16,1.1767206413715856,171.14129853460264,0.13539538955354538,0.09745533297238766,0.046511627906976744,0.1196808510638298,0.14285714285714285,0.01939655172413793,0.06349206349206349,0.008620689655172414
Cannon Mountain,New Hampshire,New Hampshire,4080,2180,1900,1,0,1,2,3,1,3,11,97.0,3.0,2.3,285.0,192.0,124.0,81.0,160.0,79.0,143.0,,16,1.1767206413715856,171.14129853460264,0.083163116428363,0.06713589604764483,0.06976744186046512,,0.1134020618556701,0.03859649122807018,0.010309278350515464,0.0035087719298245615
Crotched Mountain,New Hampshire,New Hampshire,2066,1016,1050,0,0,1,1,1,1,1,5,25.0,3.0,1.2,100.0,100.0,105.0,16.0,105.0,69.0,100.0,100.0,16,1.1767206413715856,171.14129853460264,0.029180040852057193,0.0568489442338928,0.06976744186046512,0.26595744680851063,0.2,0.05,0.04,0.01
Dartmouth Skiway,New Hampshire,New Hampshire,1943,969,974,0,0,0,1,0,1,2,4,28.0,1.0,1.1,107.0,54.0,104.0,63.0,100.0,50.0,105.0,,16,1.1767206413715856,171.14129853460264,0.031222643711701196,0.056307525717379535,0.023255813953488372,,0.14285714285714285,0.037383177570093455,0.0,0.0
Gunstock,New Hampshire,New Hampshire,2300,1400,900,0,0,1,2,2,0,1,6,55.0,4.0,1.5,227.0,176.0,106.0,82.0,120.0,92.0,,60.0,16,1.1767206413715856,171.14129853460264,0.06623869273416982,0.057390362750406064,0.09302325581395349,0.1595744680851064,0.10909090909090909,0.02643171806167401,0.01818181818181818,0.004405286343612335
King Pine,New Hampshire,New Hampshire,850,350,500,0,0,0,0,3,0,3,6,17.0,2.0,0.3,48.0,45.0,105.0,57.0,120.0,58.0,107.0,23.0,16,1.1767206413715856,171.14129853460264,0.014006419608987453,0.0568489442338928,0.046511627906976744,0.061170212765957445,0.35294117647058826,0.125,0.0,0.0
Mount Sunapee,New Hampshire,New Hampshire,2743,1510,1233,0,0,2,1,2,1,4,10,66.0,4.0,0.8,232.0,215.0,130.0,71.0,100.0,93.0,136.0,,16,1.1767206413715856,171.14129853460264,0.06769769477677269,0.07038440714672442,0.09302325581395349,,0.15151515151515152,0.04310344827586207,0.030303030303030304,0.008620689655172414
Pats Peak,New Hampshire,New Hampshire,1460,770,690,0,0,0,0,4,2,5,11,28.0,3.0,1.5,115.0,115.0,109.0,56.0,100.0,72.0,112.0,93.0,16,1.1767206413715856,171.14129853460264,0.03355704697986577,0.05901461829994586,0.06976744186046512,0.2473404255319149,0.39285714285714285,0.09565217391304348,0.0,0.0
Ragged Mountain Resort,New Hampshire,New Hampshire,2250,1250,1000,0,1,1,0,1,0,3,6,57.0,3.0,0.7,250.0,200.0,,54.0,100.0,84.0,140.0,,16,1.1767206413715856,171.14129853460264,0.07295010213014298,,0.06976744186046512,,0.10526315789473684,0.024,0.017543859649122806,0.004
Waterville Valley,New Hampshire,New Hampshire,4004,2020,1984,0,0,2,0,2,3,4,11,62.0,4.0,1.9,265.0,220.0,142.0,54.0,148.0,93.0,142.0,,16,1.1767206413715856,171.14129853460264,0.07732710825795155,0.0768814293448836,0.09302325581395349,,0.1774193548387097,0.04150943396226415,0.03225806451612903,0.007547169811320755
Whaleback Mountain,New Hampshire,New Hampshire,1800,700,1100,0,0,0,0,0,1,3,4,30.0,1.0,1.0,85.0,60.0,105.0,64.0,110.0,45.0,105.0,55.0,16,1.1767206413715856,171.14129853460264,0.024803034724248614,0.0568489442338928,0.023255813953488372,0.14627659574468085,0.13333333333333333,0.047058823529411764,0.0,0.0
Wildcat Mountain,New Hampshire,New Hampshire,4062,2112,1950,0,0,1,0,3,0,1,5,48.0,,2.8,225.0,200.0,156.0,61.0,200.0,89.0,150.0,,16,1.1767206413715856,171.14129853460264,0.06565509191712868,0.0844612885760693,,,0.10416666666666667,0.022222222222222223,0.020833333333333332,0.0044444444444444444
Mountain Creek Resort,New Jersey,New Jersey,1480,1040,440,1,0,2,2,1,1,3,10,46.0,3.0,2.0,167.0,167.0,90.0,54.0,65.0,79.99,100.0,167.0,2,0.022516969351027167,22.927891780350798,0.8789473684210526,0.5294117647058824,0.75,0.9226519337016574,0.21739130434782608,0.059880239520958084,0.043478260869565216,0.011976047904191617
Angel Fire Resort,New Mexico,New Mexico,10677,2077,8600,0,0,2,0,0,3,2,7,81.0,3.0,3.0,560.0,230.0,101.0,53.0,210.0,77.0,101.0,50.0,9,0.4292195500920676,7.401924500370097,0.10721807390388666,0.10455486542443064,0.16666666666666666,1.0,0.08641975308641975,0.0125,0.024691358024691357,0.0035714285714285713
Enchanted Forest Ski Area,New Mexico,New Mexico,10078,400,9820,0,0,0,0,0,0,0,0,33.0,,2.5,600.0,,130.0,34.0,240.0,20.0,140.0,,9,0.4292195500920676,7.401924500370097,0.11487650775416428,0.13457556935817805,,,0.0,0.0,0.0,0.0
Pajarito Mountain Ski Area,New Mexico,New Mexico,10441,1410,9031,0,0,0,1,1,3,1,6,45.0,2.0,0.6,750.0,35.0,89.0,62.0,163.0,49.0,117.0,,9,0.4292195500920676,7.401924500370097,0.14359563469270534,0.09213250517598344,0.1111111111111111,,0.13333333333333333,0.008,0.0,0.0
Red River,New Mexico,New Mexico,10350,1600,8750,0,0,0,1,3,1,2,7,63.0,3.0,2.5,209.0,,110.0,60.0,214.0,79.0,,,9,0.4292195500920676,7.401924500370097,0.04001531686770055,0.11387163561076605,0.16666666666666666,,0.1111111111111111,0.03349282296650718,0.0,0.0
Sandia Peak,New Mexico,New Mexico,10378,1700,8678,0,0,0,0,0,4,1,5,39.0,1.0,2.0,200.0,30.0,32.0,82.0,100.0,55.0,38.0,,9,0.4292195500920676,7.401924500370097,0.03829216925138809,0.033126293995859216,0.05555555555555555,,0.1282051282051282,0.025,0.0,0.0
Sipapu Ski Resort,New Mexico,New Mexico,9255,1055,8200,0,0,0,1,2,0,3,6,42.0,4.0,0.5,200.0,140.0,127.0,67.0,190.0,47.0,143.0,,9,0.4292195500920676,7.401924500370097,0.03829216925138809,0.13146997929606624,0.2222222222222222,,0.14285714285714285,0.03,0.0,0.0
Ski Apache,New Mexico,New Mexico,11500,1900,9600,1,0,0,2,6,0,2,11,55.0,3.0,2.0,750.0,270.0,133.0,58.0,185.0,74.0,124.0,,9,0.4292195500920676,7.401924500370097,0.14359563469270534,0.13768115942028986,0.16666666666666666,,0.2,0.014666666666666666,0.0,0.0
Ski Santa Fe,New Mexico,New Mexico,12075,1725,10350,0,0,0,1,2,2,2,7,83.0,1.0,3.0,660.0,275.0,107.0,73.0,225.0,80.0,130.0,,9,0.4292195500920676,7.401924500370097,0.1263641585295807,0.11076604554865424,0.05555555555555555,,0.08433734939759036,0.010606060606060607,0.0,0.0
Taos Ski Valley,New Mexico,New Mexico,12481,3281,9200,1,0,1,3,4,1,4,14,111.0,1.0,5.0,1294.0,647.0,137.0,64.0,300.0,110.0,136.0,,9,0.4292195500920676,7.401924500370097,0.24775033505648095,0.14182194616977226,0.05555555555555555,,0.12612612612612611,0.010819165378670788,0.009009009009009009,0.0007727975270479134
Belleayre,New York,New York,3429,1404,2025,1,0,1,1,1,2,2,8,50.0,2.0,2.2,175.0,168.0,154.0,70.0,130.0,72.0,150.0,,33,0.16963475221837276,60.48941435248832,0.03173739571998549,0.06459731543624161,0.027777777777777776,,0.16,0.045714285714285714,0.02,0.005714285714285714
Brantling Ski Slopes,New York,New York,850,250,600,0,0,0,0,0,0,5,5,10.0,,0.1,20.0,16.0,,19.0,110.0,32.0,,,33,0.16963475221837276,60.48941435248832,0.003627130939426913,,,,0.5,0.25,0.0,0.0
Bristol Mountain,New York,New York,2200,1200,1000,0,0,2,1,1,1,1,6,34.0,3.0,2.0,160.0,148.0,129.0,55.0,60.0,76.0,129.0,154.0,33,0.16963475221837276,60.48941435248832,0.029017047515415305,0.054110738255033555,0.041666666666666664,0.054301833568406205,0.17647058823529413,0.0375,0.058823529411764705,0.0125
Buffalo Ski Club Ski Area,New York,New York,3429,500,2025,0,0,0,0,0,2,4,6,43.0,1.0,,225.0,150.0,,12.0,,50.0,,100.0,33,0.16963475221837276,60.48941435248832,0.040805223068552776,,0.013888888888888888,0.03526093088857546,0.13953488372093023,0.02666666666666667,0.0,0.0
Catamount,New York,New York,2000,1000,1000,0,0,0,1,1,2,3,7,36.0,5.0,2.0,133.0,130.0,100.0,80.0,108.0,69.0,90.0,55.0,33,0.16963475221837276,60.48941435248832,0.024120420747188974,0.04194630872483222,0.06944444444444445,0.019393511988716503,0.19444444444444445,0.05263157894736842,0.0,0.0
Dry Hill Ski Area,New York,New York,950,300,650,0,0,0,0,0,1,2,3,7.0,1.0,0.2,35.0,26.0,,55.0,125.0,35.0,,26.0,33,0.16963475221837276,60.48941435248832,0.006347479143997099,,0.013888888888888888,0.009167842031029619,0.42857142857142855,0.08571428571428572,0.0,0.0
Gore Mountain,New York,New York,3600,2537,998,1,0,2,2,3,2,4,14,110.0,7.0,4.5,439.0,338.0,142.0,55.0,150.0,88.0,,15.0,33,0.16963475221837276,60.48941435248832,0.07961552412042075,0.05956375838926174,0.09722222222222222,0.005289139633286318,0.12727272727272726,0.03189066059225513,0.01818181818181818,0.004555808656036446
Greek Peak,New York,New York,2100,952,1148,0,0,0,1,1,4,2,8,56.0,4.0,1.5,220.0,184.0,110.0,62.0,122.0,63.2,113.0,175.0,33,0.16963475221837276,60.48941435248832,0.03989844033369604,0.04614093959731544,0.05555555555555555,0.06170662905500705,0.14285714285714285,0.03636363636363636,0.0,0.0
Holiday Mountain,New York,New York,1550,400,1150,0,0,0,1,0,1,2,4,9.0,,0.4,37.0,37.0,75.0,60.0,50.0,42.0,85.0,37.0,33,0.16963475221837276,60.48941435248832,0.00671019223793979,0.031459731543624164,,0.01304654442877292,0.4444444444444444,0.10810810810810811,0.0,0.0
Holiday Valley,New York,New York,2250,750,1500,0,0,3,8,0,0,2,13,60.0,5.0,1.0,290.0,266.0,116.0,62.0,180.0,78.0,129.0,189.0,33,0.16963475221837276,60.48941435248832,0.05259339862169024,0.04865771812080537,0.06944444444444445,0.06664315937940761,0.21666666666666667,0.04482758620689655,0.05,0.010344827586206896
Holimont Ski Area,New York,New York,2260,700,1560,0,0,1,1,2,3,1,8,53.0,3.0,1.5,135.0,135.0,110.0,57.0,180.0,75.0,119.0,,33,0.16963475221837276,60.48941435248832,0.024483133841131665,0.04614093959731544,0.041666666666666664,,0.1509433962264151,0.05925925925925926,0.018867924528301886,0.007407407407407408
Hunt Hollow Ski Club,New York,New York,2030,825,1000,0,0,0,0,1,1,1,3,19.0,1.0,1.0,400.0,400.0,,52.0,130.0,58.0,75.0,400.0,33,0.16963475221837276,60.48941435248832,0.07254261878853827,,0.013888888888888888,0.14104372355430184,0.15789473684210525,0.0075,0.0,0.0
Hunter Mountain,New York,New York,3200,1600,1600,0,2,1,2,2,2,4,13,67.0,4.0,2.0,320.0,320.0,148.0,59.0,120.0,89.0,155.0,,33,0.16963475221837276,60.48941435248832,0.05803409503083061,0.06208053691275168,0.05555555555555555,,0.19402985074626866,0.040625,0.014925373134328358,0.003125
Kissing Bridge,New York,New York,1700,550,1150,0,0,0,2,1,4,3,10,39.0,5.0,0.5,700.0,550.0,103.0,59.0,120.0,60.0,100.0,650.0,33,0.16963475221837276,60.48941435248832,0.12694958287994196,0.04320469798657718,0.06944444444444445,0.22919605077574048,0.2564102564102564,0.014285714285714285,0.0,0.0
Labrador Mt.,New York,New York,1825,700,1125,0,0,0,0,1,2,1,4,23.0,1.0,1.0,250.0,237.0,,62.0,125.0,59.0,100.0,180.0,33,0.16963475221837276,60.48941435248832,0.04533913674283642,,0.013888888888888888,0.06346967559943582,0.17391304347826086,0.016,0.0,0.0
Maple Ski Ridge,New York,New York,1200,450,750,0,0,0,0,1,1,1,3,10.0,,0.3,25.0,25.0,,57.0,,38.0,,20.0,33,0.16963475221837276,60.48941435248832,0.004533913674283642,,,0.007052186177715092,0.3,0.12,0.0,0.0
McCauley Mountain Ski Center,New York,New York,2250,633,1563,0,0,0,0,0,1,4,5,23.0,1.0,0.3,70.0,55.0,105.0,61.0,200.0,30.0,105.0,,33,0.16963475221837276,60.48941435248832,0.012694958287994197,0.044043624161073824,0.013888888888888888,,0.21739130434782608,0.07142857142857142,0.0,0.0
